title,time,artist,album,genre,plays
Nothing Stands Between Us (feat. Jonathan David Helser & Melissa Helser),5:33,John Mark McMillan,The Lightning Sessions,Alternative Folk,115
Cuppa Tea (feat. Matthew Harris),3:33,Malaki,Chrysalis,Old School Rap,115
Islands,4:05,Young the Giant,Young the Giant (Special Edition),Alternative,115
Another Place (feat. The Chamber Orchestra of London),4:18,Bastille,Doom Days (This Got Out of Hand Edition),Alternative,114
Nessun Dorma,2:58,"HAUSER, London Symphony Orchestra & Robert Ziegler",Violoncelle Apaisant (Musique Classique),Classical,114
maybe we're home,3:42,Lewis Watson,midnight,Singer/Songwriter,113
You're Beautiful (feat. Jamie Rodwell),5:11,Soul Survivor,Not Ashamed,Christian,113
Before Paris,2:30,Tom Misch,Geography,Alternative,112
Endless Alleluia,4:25,Cory Asbury,Reckless Love,Christian,111
The Star of Bethnal Green,3:35,Bear's Den,Only Son of the Falling Snow EP,Alternative,110
Let Me Hold You,4:16,Nick Wilson,Let Me Hold You - Single,Singer/Songwriter,109
Sleepless,3:23,Novo Amor,Birthplace,Alternative,108
i loved you first,3:48,joan,portra - EP,Pop,107
Camera,5:13,Young the Giant,Mind Over Matter,Alternative,107
RUNAWAY (w/ Orchestra),3:49,half•alive,in Florescence - EP,Alternative,103
Springtime,4:14,Chris Renzema,Let the Ground Rest,CCM,102
Elijah,4:11,Matthew and the Atlas,Temple,Alternative,102
5 AM,3:25,Hamilton Leithauser,Black Hours (Deluxe Edition),Alternative,101
The Wild,5:32,Mumford & Sons,Delta,Alternative,101
Caruso (Arr. for Cello and Orchestra),5:31,"HAUSER, London Symphony Orchestra & Robert Ziegler",Classic,Classical Crossover,99
Emigrate,3:38,Novo Amor,Birthplace,Alternative,99
Vertigo,4:30,Khalid,Suncity,R&B/Soul,98
State Lines,3:29,Novo Amor,Birthplace,Alternative,98
Golden,3:29,Harry Styles,Fine Line,Pop,97
Scar,4:06,Lucy Rose,Like I Used To,Alternative,97
I'm Not Ok,3:24,RHODES,I'm Not Ok - EP,Pop,97
London's Requiem,5:02,Louis Dunford,London's Requiem - Single,Alternative,96
Time,5:37,Jack Garratt,"Love, Death & Dancing",Alternative,95
Heart Strings,3:24,Oh Wonder,Ultralife,Alternative,95
Eleven,3:26,Khalid,Eleven - Single,R&B/Soul,94
Livewire,3:24,Oh Wonder,Oh Wonder,Alternative,92
So Close,4:08,Tom Misch & Carmody,Out to Sea - EP,Alternative,92
Forever Song,3:28,"Alexis Ffrench, Royal Liverpool Philharmonic Orchestra, James Morgan, Tina Guo, Rob Derbyshire & Tim Garland",Dreamland,Classical Crossover,91
Anniversary,4:43,Novo Amor,Birthplace,Alternative,91
Solo,3:25,Oh Wonder,Ultralife,Alternative,91
So Will I (100 Billion X),7:04,Hillsong Worship & TAYA,There Is More,Christian,90
Twenty Twelve,2:54,Matt Maeson,Who Killed Matt Maeson - EP,Alternative,87
Delta,6:16,Mumford & Sons,Delta,Alternative,87
Anchor,4:18,Novo Amor,Bathing Beach - EP,Alternative,87
It Runs Through Me (feat. De La Soul),4:22,Tom Misch,Geography,Alternative,86
Why Wonder,4:05,Will Reagan,Vacancy,Alternative,86
Waves,4:01,Dean Lewis,Same Kind of Different - EP,Singer/Songwriter,85
Call Me When It's Over,3:48,James Smith,Call Me When It’s Over - Single,Singer/Songwriter,85
I Don't Wanna Know,3:29,James Smith,District Line EP,Pop,85
Finally,4:42,Josh Record,Pillars (Deluxe Version),Alternative,85
Art Exhibit,4:04,Young the Giant,Home of the Strange,Alternative,85
tokyo,3:46,joan,portra - EP,Pop,84
Hollywood's Bleeding,2:36,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,84
Not What I Meant (feat. Lewis Watson),2:23,dodie & Lewis Watson,Human,Pop,83
Titus Was Born,4:03,Young the Giant,Home of the Strange,Alternative,83
lose,2:56,Kamal.,lose - Single,Pop,82
Man Like You,4:41,Tom Misch,Geography,Alternative,82
No Time To Die,4:02,Billie Eilish,No Time To Die - Single,Alternative,81
Self,3:50,Khalid,Free Spirit,R&B/Soul,80
Birthplace,3:11,Novo Amor,Birthplace,Alternative,80
say it over (feat. Cautious Clay),3:53,Ruel,"Bright Lights, Red Eyes - EP",Pop,80
Sandy,4:16,Harper Rems,"White Noise Compilation (Sound Therapy), Vol. 2 - EP",Instrumental,79
not over you,3:10,joan,bye - EP,Pop,79
She,3:34,dodie,Human,Pop,78
The Nutcracker Suite (Arr. for Cello and Orchestra),4:17,"HAUSER, London Symphony Orchestra & Robert Ziegler",Classic,Classical Crossover,77
Message,4:29,Jamie Woon,Making Time,Alternative,77
In the Air Tonight,5:36,Phil Collins,Face Value (Remastered),Rock,76
Might Never Happen,4:14,Tors,Wilder Days - EP,Alternative,76
She Burns,3:50,Foy Vance,The Wild Swan,Singer/Songwriter,75
Air on a G String,4:50,"HAUSER, London Symphony Orchestra & Robert Ziegler",Violoncelle Apaisant (Musique Classique),Classical,75
this is how you fall in love,2:55,Jeremy Zucker & Chelsea Cutler,brent ii - EP,Pop,75
Slowly,3:49,Olivia Dean,Growth - EP,Pop,75
Like a Bird,3:39,Phillip LaRue,Like a Bird - Single,Singer/Songwriter,75
Hypersonic Missiles,3:58,Sam Fender,Hypersonic Missiles,Singer/Songwriter,75
Kids Again,3:28,Sam Smith,Love Goes,Pop,75
I'll Keep You Safe,4:31,Sleeping At Last,Atlas: Year One,Alternative,75
Winter City,2:42,Jack Gray,Winter City - Single,Pop,74
In and Out of Love,2:57,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,74
Feels,3:42,WATTS & Khalid,Feels - Single,Alternative,74
rock + roll,4:56,EDEN,i think you think too much of me,Alternative,73
Saturday Nights,3:29,Khalid,Free Spirit,R&B/Soul,73
Water Baby (feat. Loyle Carner),4:32,Tom Misch,Geography,Alternative,73
California,5:10,Ed Prosek,California - EP,Singer/Songwriter,72
The Lonely Shepherd,3:33,"HAUSER, London Symphony Orchestra & Robert Ziegler",Violoncelle Apaisant (Musique Classique),Classical,72
The Hardest Part,2:56,Olivia Dean,The Hardest Part - Single,Alternative,72
Got It In You,3:41,BANNERS,Where the Shadow Ends,Alternative,71
Maker of the Moon,6:37,Bright City,Hello Maker,Christian,71
Vincent,3:44,Ellie Goulding,Vincent - Single,Pop,71
Always Be,3:27,Josh Garrels,Home,Alternative Folk,69
Ophelia,2:40,The Lumineers,Cleopatra (Deluxe Version),Alternative,69
Keep on Dancing,3:15,Oh Wonder,Keep on Dancing - Single,Pop,69
King of the Basement,4:25,Ryan Woods,King of the Basement,Alternative,69
Atlas: One,3:23,Sleeping At Last,Atlas: One - Single,Singer/Songwriter,69
Rivers,2:21,"Alexis Ffrench, Rob Derbyshire & Will Hay",Dreamland,Classical Crossover,68
Give Me Doubt,2:31,The Brilliance,Give Me Doubt - Single,Singer/Songwriter,68
I'll Never Change,3:28,Fiji Blue,"I Loved You, What Happened?",Pop,68
POLICÍA,4:25,Raissa,POLICÍA - Single,Pop,68
Hearing,4:08,Sleeping At Last,Atlas: Senses - EP,Singer/Songwriter,68
Silvertongue,3:17,Young the Giant,Home of the Strange,Alternative,68
Mirrorball,3:55,Young the Giant,Mirrorball / Mind Over Matter (Reprise) - Single,Alternative,68
"New York, Falling Apart",3:19,Chris Lanzon,Far From Perfect,Indie Pop,67
la song,3:58,Lewis Watson,midnight,Singer/Songwriter,67
6 Feet Under,3:22,Lola Young,Intro,R&B/Soul,67
One,3:14,"Alexis Ffrench, Royal Liverpool Philharmonic Orchestra, James Morgan, Alexis Ffrench Gospel Choir, Dreamland Gospel Choir, Will Hay & Chris Hill",Dreamland,Classical Crossover,66
Heaven,3:33,Khalid,Free Spirit,R&B/Soul,66
Somewhere Only We Know,3:28,Lily Allen,Somewhere Only We Know - Single,Holiday,66
Utican,2:56,Novo Amor,Birthplace,Alternative,66
Eyes Shut,3:18,Years & Years,Communion (Deluxe),Electronic,66
Safe,3:07,BANNERS,Where the Shadow Ends,Alternative,65
Crow,4:57,Bear's Den,So that you might hear me,Alternative,65
Rest,3:42,The Family Crest,The War: Act I,Pop,65
Tomorrow,3:00,JORDY & OSTON,Long Distance - EP,Pop,65
Mantieni il bacio,3:37,Michele Bravi,La Geografia Del Buio,Pop,65
Oh Caroline,3:33,The 1975,Being Funny In a Foreign Language,Alternative,65
Fix My Eyes,3:36,for KING & COUNTRY,Run Wild. Live Free. Love Strong. (Deluxe Anniversary Edition),Christian,64
Keep You Warm,3:31,Ill-Advised Poetry,Keep You Warm - Single,Indie Rock,63
come over,3:08,joan,come over (hi) - Single,Pop,63
Seneca,4:28,Novo Amor,Birthplace,Alternative,63
My Friends,4:55,Oh Wonder,Ultralife,Alternative,63
Nowhere,4:46,Black Match,Nowhere,Folk,62
hello hello,4:10,Lewis Watson,midnight,Singer/Songwriter,62
Queen Tings,3:08,Masego & Tiffany Gouche,Lady Lady,R&B/Soul,62
Disco Yes,4:41,Tom Misch & Poppy Ajudha,Geography,Alternative,62
If I Believe You,6:20,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Alternative,62
The End (Music For Cars),2:31,The 1975,Notes On a Conditional Form (Deluxe Apple Music Edition),Alternative,62
up to something,2:59,Ruel,"Bright Lights, Red Eyes - EP",Pop,61
Repeat,3:05,Young the Giant,Home of the Strange,Alternative,61
These Days,2:53,"Alexis Ffrench, Royal Liverpool Philharmonic Orchestra, James Morgan, Chris Hill & Rob Derbyshire",Dreamland,Classical Crossover,60
Give Me The Future,3:40,Bastille,Give Me The Future - Single,Alternative,60
Boulevards,3:14,Landon Conrath,Boulevards - Single,Indie Pop,60
Slip Away,4:55,Mumford & Sons,Delta,Alternative,60
Carry Your Light,3:38,Nick Wilson,A Face I've Never Seen Before - EP,Singer/Songwriter,60
Woodwork,3:56,Sleeping At Last,Atlas: Year One,Alternative,60
When I Survey (Live),6:41,Tim Hughes,Happy Day - Live Worship - London,Christian,60
Coming Home,3:33,"Alexis Ffrench, Royal Liverpool Philharmonic Orchestra, James Morgan, Graham Anthony Devine & Rob Derbyshire",Dreamland,Classical Crossover,59
Summertime,4:53,Ella Fitzgerald & Louis Armstrong,Ella Fitzgerald: Gold,Jazz,59
Better,3:49,Khalid,Free Spirit,R&B/Soul,59
Talk,3:18,Khalid,Free Spirit,R&B/Soul,59
Bluebird,4:53,Luca Fogale,Safety,Singer/Songwriter,59
Worries,2:45,Raleigh Ritchie,Andy,Alternative,59
"Birds of a Feather, We Rock Together (feat. Antwaun Stanley)",4:45,Vulfpeck,Mr Finish Line,Funk,59
Happiness,5:04,The 1975,Being Funny In a Foreign Language,Alternative,59
Would You Be So Kind,3:01,dodie,You - EP,Singer/Songwriter,58
King of Kings (Acoustic),4:22,Hillsong Worship & Brooke Ligertwood,Awake,Christian,58
If You Wanted It Too,2:38,Jake Scott & Josh Kerr,Twenty Twenty,Pop,58
Chess,5:09,K.S. Rhoads,Experts,Singer/Songwriter,58
South of the River,4:30,Tom Misch,Geography,Alternative,58
Movie,5:57,Tom Misch,Geography,Alternative,58
The Sound,4:09,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Alternative,58
Heartbeats,3:57,"Alexis Ffrench, Royal Liverpool Philharmonic Orchestra, James Morgan & Rob Derbyshire",Dreamland,Classical Crossover,57
A Gift,4:13,Josh Garrels,Chrysaline,Singer/Songwriter,57
Say Something,3:54,Kodaline,One Day At A Time (Deluxe Edition),Pop,57
Way Maker (Live),8:23,Leeland,Better Word (Live),Christian,57
SANE,3:23,Raissa,HEROGIRL - EP,Pop,57
Jupiter,4:16,Sleeping At Last,Atlas: Year One,Alternative,57
Cos I Love You,4:14,Tom Misch,Geography,Alternative,57
If I Had a Boat,4:07,James Vincent McMorrow,Early in the Morning,Alternative,56
i'm lonely,3:01,Luz,i'm lonely - Single,Singer/Songwriter,56
Hallelujah,3:11,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,56
I Found,4:33,Amber Run,5AM (Expanded Edition),Alternative,55
Goodbye,2:55,Fiji Blue,Goodbye - EP,Pop,55
Hollywood,3:21,Foxes,Hollywood - Single,Pop,55
Enough,3:42,Ill-Advised Poetry,Enough - Single,Singer/Songwriter,55
All Points,3:43,James Vincent McMorrow,Post Tropical (Deluxe Edition),Alternative,55
Saturn (feat. Tim Fain),5:17,Sleeping At Last,Saturn - Single (feat. Tim Fain) - Single,Singer/Songwriter,55
The Black and White,4:39,The Band CAMINO,My Thoughts On You - EP,Alternative,54
Time Is Dancing,6:49,Ben Howard,I Forget Where We Were,Singer/Songwriter,54
Here Again,6:46,Elevation Worship,Hallelujah Here Below,Christian,54
The Beautiful Dream,4:30,George Ezra,Staying at Tamara's,Singer/Songwriter,54
Down South (feat. Motheo Moleko),4:01,Jeremy Loops,Trading Change (Deluxe Edition),Alternative,54
Wildfire,3:45,Seafret,Tell Me It's Real (Expanded Edition),Alternative,54
All My Friends,2:26,Tors,All My Friends - Single,Alternative,54
Riptide,3:24,Vance Joy,Dream Your Life Away,Alternative,54
Above the Clouds of Pompeii,4:39,Bear's Den,Islands (Deluxe),Alternative Folk,53
Sparks,3:59,The Family Crest,Prelude to War - EP,Alternative,53
Water,3:41,Jack Garratt,Phase (Deluxe),Alternative,53
Right Back,3:35,Khalid,Free Spirit,R&B/Soul,53
Shiver,3:53,Lucy Rose,Like I Used To,Alternative,53
Repeat Until Death,3:54,Novo Amor,Birthplace,Alternative,53
Fire and the Flood,4:09,Vance Joy,Dream Your Life Away (Special Edition),Alternative,53
Shine,3:10,"Alexis Ffrench, Royal Liverpool Philharmonic Orchestra, James Morgan, Will Hay, Paul Sartin, Cormac Byrne, Chris Hill & Rob Derbyshire",Dreamland,Classical Crossover,52
R U Mine?,3:22,Arctic Monkeys,AM,Alternative,52
Shotgun,3:21,George Ezra,Staying at Tamara's,Singer/Songwriter,52
Good Vibes,2:50,HRVY & Matoma,Good Vibes - Single,Pop,52
Can't Keep My Cool,3:50,Leland Blue,Can't Keep My Cool - EP,Indie Pop,52
Gamble,4:15,Lucy Rose,Like I Used To,Alternative,52
time online,4:07,Nightly,"night, love you.",Alternative,52
Drunk on You (Acoustic),3:17,Oh Wonder,No One Else Can Wear Your Crown (Deluxe),Pop,52
Pillow,2:54,Ryan Woods,King of the Basement,Alternative,52
We've Come So Far,3:53,Tom Misch,Geography,Alternative,52
Napoleon - Fragments,6:01,Bear's Den & Paul Frith,Fragments,Alternative Folk,51
Colors,4:45,Josh Garrels,Home,Alternative Folk,51
Shouldn't Be,3:30,Luke Chiang,Shouldn't Be - Single,Pop,51
Rapide,4:04,Mahmood,Rapide - Single,Pop,51
From Gold,3:34,Novo Amor,"Woodgate, NY - EP",Alternative,51
Ultralife,3:32,Oh Wonder,Ultralife,Alternative,51
Dazed & Confused,3:10,Ruel,Dazed & Confused - Single,Pop,51
Atlas: Body,3:55,Sleeping At Last,Atlas: Body - Single,Singer/Songwriter,51
Small Things,5:44,Ben Howard,I Forget Where We Were,Singer/Songwriter,50
Collide,3:30,Ed Sheeran,=,Pop,50
Future / Past,6:42,John Mark McMillan,Borderland,Alternative Folk,50
Born Again,4:32,Josh Garrels,Home,Alternative Folk,50
autopilot,2:35,Kamal.,about the party - Single,Pop,50
decline,2:18,Kamal.,Two Missed Calls - Single,R&B/Soul,50
New Normal,3:19,Khalid,New Normal - Single,Pop,50
You Say,4:35,Lauren Daigle,Look Up Child,Christian,50
Place,3:48,Lucy Rose,Like I Used To,Alternative,50
Feel Good,3:16,Matt Maeson,Bank on the Funeral,Alternative,50
Casa di specchi,3:24,Matteo Romano,Casa di specchi - Single,Pop,50
Free Time,3:38,Ruel,Free Time,Pop,50
Chess & Checkers,2:29,Sally Boy,Chess & Checkers - Single,Pop,50
I Wonder,2:34,Sally Boy,EREZ,Alternative,50
Remind Me (Gospel Version),3:35,Tom Grennan,Remind Me (Gospel Version) - Single,Alternative,50
Wastelands,5:35,Amber Run,"For a Moment, I Was Lost",Indie Rock,49
Cruise Control,2:40,Ben Kessler,Cruise Control - EP,Pop,49
Always Good (Live),7:57,Bethel Music & Hannah McClure,Revival's In The Air,Christian,49
Japanese Denim,4:31,Daniel Caesar,Japanese Denim - Single,R&B/Soul,49
Won't Stop Now,7:05,Elevation Worship,Hallelujah Here Below,Christian,49
still feel.,4:08,half•alive,"Now, Not Yet",Alternative,49
waiting on nothing,4:07,joan,bye - EP,Pop,49
Bad Luck,3:52,Khalid,Free Spirit,R&B/Soul,49
Up All Night,2:37,Khalid,Up All Night - Single,R&B/Soul,49
Tompkins Square Park,5:12,Mumford & Sons,Wilder Mind,Alternative,49
Younger,3:22,Nightly,The Sound of Your Voice - EP,Alternative,49
Faint,4:07,Oliver Riot,Faint - Single,Pop,49
Mars,3:58,Sleeping At Last,Atlas: Year One,Alternative,49
I Forget Where We Were,4:41,Ben Howard,I Forget Where We Were,Singer/Songwriter,48
Grew Apart - Piano,3:10,Donovan Woods,Without People (Deluxe),Singer/Songwriter,48
Do It Again,6:42,Elevation Worship,Speak Revival - EP,Christian,48
Can You Stay,4:00,The Family Crest,Prelude to War - EP,Alternative,48
I Should Go,2:24,James Vincent McMorrow & Kenny Beats,I Should Go - Single,Pop,48
I'll Be Good,4:09,Jaymes Young,Habits of My Heart - EP,Alternative,48
Password Change,3:26,Olivia Dean,Ok Love You Bye - EP,Alternative,48
What Am I Gonna Do On Sundays?,3:29,Olivia Dean,What Am I Gonna Do On Sundays? - EP,Alternative,48
Overture,3:48,Sleeping At Last,Atlas: Year One,Alternative,48
If Only,3:31,Tom Grennan,Evering Road (Deluxe),Alternative,48
i think i wanna text u,3:16,vaultboy,vaultboy - EP,Pop,48
Typhoon (2020 Remaster),4:10,Young the Giant,Young The Giant (10th Anniversary Edition),Alternative,48
something special,2:37,joan,something special (hi) - Single,Pop,47
Free Spirit,3:02,Khalid,Free Spirit,R&B/Soul,47
echoes,4:03,Lewis Watson,the love that you want,Pop,47
this time last year,2:48,Nightly,this time last year - Single,Alternative,47
My Type,3:25,Saint Motel,My Type - EP,Alternative,47
Uneven Odds,5:41,Sleeping At Last,Atlas: Year One,Alternative,47
Mind Over Matter,4:05,Young the Giant,Mind Over Matter,Alternative,47
Breaker / Keeper,4:32,Bear's Den,So that you might hear me,Alternative,46
Thank You,4:40,Bright City,Hello Maker,Christian,46
Fisherman's Harvest Song (Pt. 1),3:48,Christian Li & Timothy Young,Li Zili: Fisherman's Harvest Song - Single,Classical,46
Be Alright,3:56,Lucy Rose,Like I Used To,Alternative,46
La vita breve dei coriandoli,3:28,Michele Bravi,La Geografia Del Buio,Pop,46
Take Yourself Home,4:09,Troye Sivan,In A Dream - EP,Pop,46
Thelma + Louise,2:17,Bastille,Give Me The Future,Alternative,45
Agape,4:18,Bear's Den,Islands (Deluxe),Alternative Folk,45
Adonai,4:07,Chris Renzema,I'll Be the Branches,CCM,45
Creation Awaits,5:14,Emu Music,Creation Awaits,Christian,45
Body,3:25,Jordan Suaste,Patience - Single,Pop,45
My Bad,2:44,Khalid,Free Spirit,R&B/Soul,45
forever,3:02,Lewis Watson,midnight,Singer/Songwriter,45
Crosswords,2:33,Olivia Dean,Crosswords - Single,Alternative,45
Level of Concern,3:40,twenty one pilots,Level of Concern - Single,Alternative,45
Something to Believe In,3:48,Young the Giant,Home of the Strange,Alternative,45
Haircut,3:34,Chaz Cardigan,Haircut - Single,Alternative,44
Where Did the Time Go,4:10,Duane Rivers,Wise Man Fools Heart - EP,Singer/Songwriter,44
With You,6:05,Elevation Worship,Paradoxology,Christian,44
Hallelujah (Orch. Ducros),3:01,"Gautier Capuçon, Adrien Perruchon & Orchestre de chambre de Paris",Emotions,Classical,44
Sharpness,3:27,Jamie Woon,Making Time,Alternative,44
Loud,4:17,JC Stewart,Loud - Single,Pop,44
Don't Pretend (feat. SAFE),2:46,Khalid,Free Spirit,R&B/Soul,44
Bye Felicia,2:38,Masego,Studying Abroad - EP,R&B/Soul,44
Nelsonwood Lane,4:28,Matt Maeson,Nelsonwood Lane - Single,Alternative,44
Holding On,3:18,Nightly,The Sound of Your Voice - EP,Alternative,44
Carry You,4:33,Novo Amor,Bathing Beach - EP,Alternative,44
Martha,2:52,Sally Boy,Lies I Tell Myself,Pop,44
Apartment,3:56,Young the Giant,Young the Giant (Special Edition),Alternative,44
British Bombs,4:58,Declan McKenna,British Bombs - Single,Alternative,43
In the Middle,3:02,dodie,You - EP,Singer/Songwriter,43
Lascia Ch' io Pianga,4:29,"HAUSER, London Symphony Orchestra & Robert Ziegler",Classic,Classical,43
Thunderwing,3:39,K.S. Rhoads,Experts,Singer/Songwriter,43
Twenty One,3:04,Khalid,Free Spirit,R&B/Soul,43
Ho Hey,2:43,The Lumineers,The Lumineers (Deluxe Version),Alternative,43
Sticky,2:59,The Maine,XOXO: From Love & Anxiety In Real Time,Alternative,43
On Your Sleeve,3:26,Nightly,On Your Sleeve - Single,Pop,43
Weather,3:52,Novo Amor,"Woodgate, NY - EP",Alternative,43
Bad Blood,4:54,Sleeping At Last,Atlas: Year One,Alternative,43
Mercury,3:33,Sleeping At Last,Atlas: Year One,Alternative,43
Earth,4:28,Sleeping At Last,Atlas: Year One,Alternative,43
Baby I Don’t Know Oh Oh (feat. Charles Jones),3:29,Vulfpeck,Mr Finish Line,Funk,43
Pantomime,4:00,Ben Hammersley,Solace EP,Folk,42
Lights,4:26,Canyon City,Bluebird,Singer/Songwriter,42
Diamond Eyes (feat. Sia),3:44,Eddie Benjamin,Emotional - EP,Pop,42
Rock Back & Forth,3:06,John-Robert,"Healthy Baby Boy, Pt. 1 - EP",Singer/Songwriter,42
Snow,3:46,Jome,Tunnels,Alternative,42
Trauma,4:07,NF,The Search,Hip-Hop/Rap,42
Ivory Black,4:28,Oliver Riot,Hallucinate - EP,Folk,42
Bad Texter,3:13,Ryan Woods,King of the Basement,Alternative,42
Sight,4:09,Sleeping At Last,Atlas: Senses - EP,Singer/Songwriter,42
You Are Enough,3:00,Sleeping At Last,Atlas: Year One,Alternative,42
"December 13, 2017: Geminid Meteor Shower",3:33,Sleeping At Last,"December 13, 2017: Geminid Meteor Shower - Single",Alternative,42
Lost In Paris (feat. GoldLink),3:14,Tom Misch,Geography,Alternative,42
One Day Like This,6:34,Elbow,The Seldom Seen Kid,Alternative,41
Mirror Talk,2:46,Griff,Mirror Talk - Single,Pop,41
Tmrw,3:30,Jamie Woon,Mirrorwriting,Alternative,41
Drive All Night,2:58,joan,"Music Mood, Vol.1 by Merrell Twins",Pop,41
Watch Over,3:32,Lucy Rose,Like I Used To,Alternative,41
A Troubled Mind,3:02,Noah Kahan,Cape Elizabeth - EP,Alternative,41
Embody Me,3:10,Novo Amor,Bathing Beach - EP,Alternative,41
Sweet Disaster,3:48,Oh Wonder,22 Make,Pop,41
Pressure,3:03,Raleigh Ritchie,Andy,Alternative,41
"Cold Little Heart (From ""Big Little Lies"")",3:36,Royal Philharmonic Orchestra & Nick Shirm,Boxsets and Chill,Classical Crossover,41
Unsaid,3:47,Ruel,Free Time,Pop,41
Venus,3:21,Sleeping At Last,Atlas: Year One,Alternative,41
That's Life,2:28,Still Woozy,"If This Isn’t Nice, I Don’t Know What Is",Pop,41
Slow Down,3:37,Twiceyoung,Little Mind Alike,Pop,41
Georgia,3:51,Vance Joy,Dream Your Life Away (Special Edition),Alternative,41
American Bollywood,4:44,Young the Giant,American Bollywood,Alternative,41
cherry wine,3:09,Zachary Knowles,cherry wine - Single,Pop,41
What I Want,3:51,The Band CAMINO,tryhard,Alternative,40
Questo nostro grande amore,2:34,Fred Bongusto,Alfredo Antonio Carlo Bongusto,Pop,40
October,5:07,George Ogilvie,October - Single,Alternative,40
Need the Sun to Break,3:46,James Bay,Chaos and the Calm,Singer/Songwriter,40
All I've Got,3:19,Lucy Rose,Like I Used To,Alternative,40
Infinite,3:47,Lyn Lapid,Infinite - Single,Pop,40
13494,1:18,Novo Amor,Birthplace,Alternative,40
Cold,4:23,Novo Amor,"Woodgate, NY - EP",Alternative,40
Be My Own Boyfriend,3:28,Olivia Dean,Be My Own Boyfriend - Single,Pop,40
"January 31, 2018: Super Blue Blood Moon",2:23,Sleeping At Last,"January 31, 2018: Super Blue Blood Moon - Single",Instrumental,40
is your bedroom ceiling bored?,3:28,Sody & Cavetown,is your bedroom ceiling bored? - Single,Singer/Songwriter,40
Need You Now,3:32,Dean Lewis,Same Kind of Different - EP,Singer/Songwriter,39
Movement,5:12,Jamie Woon,Making Time,Alternative,39
Glass Piano,3:25,Kathleen,Kathleen II - EP,Alternative,39
Look Up Child,3:03,Lauren Daigle,Look Up Child,Christian,39
Night Bus,3:25,Lucy Rose,Like I Used To,Alternative,39
Mystery Lady,3:48,Masego & Don Toliver,Studying Abroad - EP,R&B/Soul,39
Miles Apart,3:45,Nick Wilson,Miles Apart - Single,Singer/Songwriter,39
Safe,3:25,Nick Wilson,Safe - Single,Singer/Songwriter,39
"Oh, Round Lake",2:55,Novo Amor,Birthplace,Alternative,39
Silvery,3:53,"Novo Amor, Ed Tullett & Lowswimmer",Heiress,Alternative,39
Amateur Blood,3:32,"Novo Amor, Ed Tullett & Lowswimmer",Heiress,Alternative,39
The Friend Space,2:57,Ryan Woods,King of the Basement,Alternative,39
Saturn,4:50,Sleeping At Last,Atlas: Year One,Alternative,39
Uranus,4:20,Sleeping At Last,Atlas: Year One,Alternative,39
Next Up Forever,4:17,AJR,Neotheater,Pop,38
Finale (Can't Wait to See What You Do Next),4:38,AJR,Neotheater,Pop,38
I Think I Like You,3:03,The Band CAMINO,The Band CAMINO,Alternative,38
Red Earth & Pouring Rain,4:52,Bear's Den,Red Earth & Pouring Rain,Alternative,38
Dancing on the Waves,6:15,Bethel Music & We The Kingdom,Peace,Christian,38
Barcelona Girl,3:25,Corella,Barcelona Girl - Single,Indie Pop,38
